TextAsset Base
	string m_Name = "6"
	string m_Script = "<?xml version="1.0" encoding="utf-8"?>
<Config>
  <Levels>
    <Level Level="0" LifeV="0" MagicV="0" MinDefenseV="0" MaxDefenseV="0" MinMDefenseV="0" MaxMDefenseV="0" MinAttackV="0" MaxAttackV="0" MinMAttackV="0" MaxMAttackV="0" RecoverLifeV="0" RecoverMagicV="0" HitV="0" Dodge="0" PhySkillIncreasePercent="0" MagicSkillIncreasePercent="0" AttackSpeed="0" />
    <Level Level="1" LifeV="267" MagicV="500" MinDefenseV="32" MaxDefenseV="40" MinMDefenseV="42" MaxMDefenseV="53" MinAttackV="0" MaxAttackV="0" MinMAttackV="122" MaxMAttackV="161" RecoverLifeV="0.014" RecoverMagicV="0.014" HitV="29" Dodge="29" PhySkillIncreasePercent="0" MagicSkillIncreasePercent="0" AttackSpeed="0" />
    <Level Level="2" LifeV="267" MagicV="500" MinDefenseV="32" MaxDefenseV="40" MinMDefenseV="42" MaxMDefenseV="53" MinAttackV="0" MaxAttackV="0" MinMAttackV="122" MaxMAttackV="161" RecoverLifeV="0.014" RecoverMagicV="0.014" HitV="29" Dodge="29" PhySkillIncreasePercent="0" MagicSkillIncreasePercent="0" AttackSpeed="0" />
    <Level Level="3" LifeV="267" MagicV="500" MinDefenseV="32" MaxDefenseV="40" MinMDefenseV="42" MaxMDefenseV="53" MinAttackV="0" MaxAttackV="0" MinMAttackV="122" MaxMAttackV="161" RecoverLifeV="0.014" RecoverMagicV="0.014" HitV="29" Dodge="29" PhySkillIncreasePercent="0" MagicSkillIncreasePercent="0" AttackSpeed="0" />
    <Level Level="4" LifeV="267" MagicV="500" MinDefenseV="32" MaxDefenseV="40" MinMDefenseV="42" MaxMDefenseV="53" MinAttackV="0" MaxAttackV="0" MinMAttackV="122" MaxMAttackV="161" RecoverLifeV="0.014" RecoverMagicV="0.014" HitV="29" Dodge="29" PhySkillIncreasePercent="0" MagicSkillIncreasePercent="0" AttackSpeed="0" />
    <Level Level="5" LifeV="267" MagicV="500" MinDefenseV="32" MaxDefenseV="40" MinMDefenseV="42" MaxMDefenseV="53" MinAttackV="0" MaxAttackV="0" MinMAttackV="122" MaxMAttackV="161" RecoverLifeV="0.014" RecoverMagicV="0.014" HitV="29" Dodge="29" PhySkillIncreasePercent="0" MagicSkillIncreasePercent="0" AttackSpeed="0" />
    <Level Level="6" LifeV="267" MagicV="500" MinDefenseV="32" MaxDefenseV="40" MinMDefenseV="42" MaxMDefenseV="53" MinAttackV="0" MaxAttackV="0" MinMAttackV="122" MaxMAttackV="161" RecoverLifeV="0.014" RecoverMagicV="0.014" HitV="29" Dodge="29" PhySkillIncreasePercent="0" MagicSkillIncreasePercent="0" AttackSpeed="0" />
    <Level Level="7" LifeV="267" MagicV="500" MinDefenseV="32" MaxDefenseV="40" MinMDefenseV="42" MaxMDefenseV="53" MinAttackV="0" MaxAttackV="0" MinMAttackV="122" MaxMAttackV="161" RecoverLifeV="0.014" RecoverMagicV="0.014" HitV="29" Dodge="29" PhySkillIncreasePercent="0" MagicSkillIncreasePercent="0" AttackSpeed="0" />
    <Level Level="8" LifeV="267" MagicV="500" MinDefenseV="32" MaxDefenseV="40" MinMDefenseV="42" MaxMDefenseV="53" MinAttackV="0" MaxAttackV="0" MinMAttackV="122" MaxMAttackV="161" RecoverLifeV="0.014" RecoverMagicV="0.014" HitV="29" Dodge="29" PhySkillIncreasePercent="0" MagicSkillIncreasePercent="0" AttackSpeed="0" />
    <Level Level="9" LifeV="267" MagicV="500" MinDefenseV="32" MaxDefenseV="40" MinMDefenseV="42" MaxMDefenseV="53" MinAttackV="0" MaxAttackV="0" MinMAttackV="122" MaxMAttackV="161" RecoverLifeV="0.014" RecoverMagicV="0.014" HitV="29" Dodge="29" PhySkillIncreasePercent="0" MagicSkillIncreasePercent="0" AttackSpeed="0" />
    <Level Level="10" LifeV="267" MagicV="500" MinDefenseV="32" MaxDefenseV="40" MinMDefenseV="42" MaxMDefenseV="53" MinAttackV="0" MaxAttackV="0" MinMAttackV="122" MaxMAttackV="161" RecoverLifeV="0.014" RecoverMagicV="0.014" HitV="29" Dodge="29" PhySkillIncreasePercent="0" MagicSkillIncreasePercent="0" AttackSpeed="0" />
    <Level Level="11" LifeV="267" MagicV="500" MinDefenseV="32" MaxDefenseV="40" MinMDefenseV="42" MaxMDefenseV="53" MinAttackV="0" MaxAttackV="0" MinMAttackV="122" MaxMAttackV="161" RecoverLifeV="0.014" RecoverMagicV="0.014" HitV="29" Dodge="29" PhySkillIncreasePercent="0" MagicSkillIncreasePercent="0" AttackSpeed="0" />
    <Level Level="12" LifeV="267" MagicV="500" MinDefenseV="32" MaxDefenseV="40" MinMDefenseV="42" MaxMDefenseV="53" MinAttackV="0" MaxAttackV="0" MinMAttackV="122" MaxMAttackV="161" RecoverLifeV="0.014" RecoverMagicV="0.014" HitV="29" Dodge="29" PhySkillIncreasePercent="0" MagicSkillIncreasePercent="0" AttackSpeed="0" />
    <Level Level="13" LifeV="267" MagicV="500" MinDefenseV="32" MaxDefenseV="40" MinMDefenseV="42" MaxMDefenseV="53" MinAttackV="0" MaxAttackV="0" MinMAttackV="122" MaxMAttackV="161" RecoverLifeV="0.014" RecoverMagicV="0.014" HitV="29" Dodge="29" PhySkillIncreasePercent="0" MagicSkillIncreasePercent="0" AttackSpeed="0" />
    <Level Level="14" LifeV="267" MagicV="500" MinDefenseV="32" MaxDefenseV="40" MinMDefenseV="42" MaxMDefenseV="53" MinAttackV="0" MaxAttackV="0" MinMAttackV="122" MaxMAttackV="161" RecoverLifeV="0.014" RecoverMagicV="0.014" HitV="29" Dodge="29" PhySkillIncreasePercent="0" MagicSkillIncreasePercent="0" AttackSpeed="0" />
    <Level Level="15" LifeV="267" MagicV="500" MinDefenseV="32" MaxDefenseV="40" MinMDefenseV="42" MaxMDefenseV="53" MinAttackV="0" MaxAttackV="0" MinMAttackV="122" MaxMAttackV="161" RecoverLifeV="0.014" RecoverMagicV="0.014" HitV="29" Dodge="29" PhySkillIncreasePercent="0" MagicSkillIncreasePercent="0" AttackSpeed="0" />
    <Level Level="16" LifeV="267" MagicV="500" MinDefenseV="32" MaxDefenseV="40" MinMDefenseV="42" MaxMDefenseV="53" MinAttackV="0" MaxAttackV="0" MinMAttackV="122" MaxMAttackV="161" RecoverLifeV="0.014" RecoverMagicV="0.014" HitV="29" Dodge="29" PhySkillIncreasePercent="0" MagicSkillIncreasePercent="0" AttackSpeed="0" />
    <Level Level="17" LifeV="267" MagicV="500" MinDefenseV="32" MaxDefenseV="40" MinMDefenseV="42" MaxMDefenseV="53" MinAttackV="0" MaxAttackV="0" MinMAttackV="122" MaxMAttackV="161" RecoverLifeV="0.014" RecoverMagicV="0.014" HitV="29" Dodge="29" PhySkillIncreasePercent="0" MagicSkillIncreasePercent="0" AttackSpeed="0" />
    <Level Level="18" LifeV="267" MagicV="500" MinDefenseV="32" MaxDefenseV="40" MinMDefenseV="42" MaxMDefenseV="53" MinAttackV="0" MaxAttackV="0" MinMAttackV="122" MaxMAttackV="161" RecoverLifeV="0.014" RecoverMagicV="0.014" HitV="29" Dodge="29" PhySkillIncreasePercent="0" MagicSkillIncreasePercent="0" AttackSpeed="0" />
    <Level Level="19" LifeV="267" MagicV="500" MinDefenseV="32" MaxDefenseV="40" MinMDefenseV="42" MaxMDefenseV="53" MinAttackV="0" MaxAttackV="0" MinMAttackV="122" MaxMAttackV="161" RecoverLifeV="0.014" RecoverMagicV="0.014" HitV="29" Dodge="29" PhySkillIncreasePercent="0" MagicSkillIncreasePercent="0" AttackSpeed="0" />
    <Level Level="20" LifeV="267" MagicV="500" MinDefenseV="32" MaxDefenseV="40" MinMDefenseV="42" MaxMDefenseV="53" MinAttackV="0" MaxAttackV="0" MinMAttackV="122" MaxMAttackV="161" RecoverLifeV="0.014" RecoverMagicV="0.014" HitV="29" Dodge="29" PhySkillIncreasePercent="0" MagicSkillIncreasePercent="0" AttackSpeed="0" />
    <Level Level="21" LifeV="267" MagicV="500" MinDefenseV="32" MaxDefenseV="40" MinMDefenseV="42" MaxMDefenseV="53" MinAttackV="0" MaxAttackV="0" MinMAttackV="122" MaxMAttackV="161" RecoverLifeV="0.014" RecoverMagicV="0.014" HitV="29" Dodge="29" PhySkillIncreasePercent="0" MagicSkillIncreasePercent="0" AttackSpeed="0" />
    <Level Level="22" LifeV="267" MagicV="500" MinDefenseV="32" MaxDefenseV="40" MinMDefenseV="42" MaxMDefenseV="53" MinAttackV="0" MaxAttackV="0" MinMAttackV="122" MaxMAttackV="161" RecoverLifeV="0.014" RecoverMagicV="0.014" HitV="29" Dodge="29" PhySkillIncreasePercent="0" MagicSkillIncreasePercent="0" AttackSpeed="0" />
    <Level Level="23" LifeV="267" MagicV="500" MinDefenseV="32" MaxDefenseV="40" MinMDefenseV="42" MaxMDefenseV="53" MinAttackV="0" MaxAttackV="0" MinMAttackV="122" MaxMAttackV="161" RecoverLifeV="0.014" RecoverMagicV="0.014" HitV="29" Dodge="29" PhySkillIncreasePercent="0" MagicSkillIncreasePercent="0" AttackSpeed="0" />
    <Level Level="24" LifeV="267" MagicV="500" MinDefenseV="32" MaxDefenseV="40" MinMDefenseV="42" MaxMDefenseV="53" MinAttackV="0" MaxAttackV="0" MinMAttackV="122" MaxMAttackV="161" RecoverLifeV="0.014" RecoverMagicV="0.014" HitV="29" Dodge="29" PhySkillIncreasePercent="0" MagicSkillIncreasePercent="0" AttackSpeed="0" />
    <Level Level="25" LifeV="267" MagicV="500" MinDefenseV="32" MaxDefenseV="40" MinMDefenseV="42" MaxMDefenseV="53" MinAttackV="0" MaxAttackV="0" MinMAttackV="122" MaxMAttackV="161" RecoverLifeV="0.014" RecoverMagicV="0.014" HitV="29" Dodge="29" PhySkillIncreasePercent="0" MagicSkillIncreasePercent="0" AttackSpeed="0" />
    <Level Level="26" LifeV="267" MagicV="500" MinDefenseV="32" MaxDefenseV="40" MinMDefenseV="42" MaxMDefenseV="53" MinAttackV="0" MaxAttackV="0" MinMAttackV="122" MaxMAttackV="161" RecoverLifeV="0.014" RecoverMagicV="0.014" HitV="29" Dodge="29" PhySkillIncreasePercent="0" MagicSkillIncreasePercent="0" AttackSpeed="0" />
    <Level Level="27" LifeV="267" MagicV="500" MinDefenseV="32" MaxDefenseV="40" MinMDefenseV="42" MaxMDefenseV="53" MinAttackV="0" MaxAttackV="0" MinMAttackV="122" MaxMAttackV="161" RecoverLifeV="0.014" RecoverMagicV="0.014" HitV="29" Dodge="29" PhySkillIncreasePercent="0" MagicSkillIncreasePercent="0" AttackSpeed="0" />
    <Level Level="28" LifeV="267" MagicV="500" MinDefenseV="32" MaxDefenseV="40" MinMDefenseV="42" MaxMDefenseV="53" MinAttackV="0" MaxAttackV="0" MinMAttackV="122" MaxMAttackV="161" RecoverLifeV="0.014" RecoverMagicV="0.014" HitV="29" Dodge="29" PhySkillIncreasePercent="0" MagicSkillIncreasePercent="0" AttackSpeed="0" />
    <Level Level="29" LifeV="267" MagicV="500" MinDefenseV="32" MaxDefenseV="40" MinMDefenseV="42" MaxMDefenseV="53" MinAttackV="0" MaxAttackV="0" MinMAttackV="122" MaxMAttackV="161" RecoverLifeV="0.014" RecoverMagicV="0.014" HitV="29" Dodge="29" PhySkillIncreasePercent="0" MagicSkillIncreasePercent="0" AttackSpeed="0" />
    <Level Level="30" LifeV="267" MagicV="500" MinDefenseV="32" MaxDefenseV="40" MinMDefenseV="42" MaxMDefenseV="53" MinAttackV="0" MaxAttackV="0" MinMAttackV="122" MaxMAttackV="161" RecoverLifeV="0.014" RecoverMagicV="0.014" HitV="29" Dodge="29" PhySkillIncreasePercent="0" MagicSkillIncreasePercent="0" AttackSpeed="0" />
    <Level Level="31" LifeV="267" MagicV="500" MinDefenseV="32" MaxDefenseV="40" MinMDefenseV="42" MaxMDefenseV="53" MinAttackV="0" MaxAttackV="0" MinMAttackV="122" MaxMAttackV="161" RecoverLifeV="0.014" RecoverMagicV="0.014" HitV="29" Dodge="29" PhySkillIncreasePercent="0" MagicSkillIncreasePercent="0" AttackSpeed="0" />
    <Level Level="32" LifeV="267" MagicV="500" MinDefenseV="32" MaxDefenseV="40" MinMDefenseV="42" MaxMDefenseV="53" MinAttackV="0" MaxAttackV="0" MinMAttackV="122" MaxMAttackV="161" RecoverLifeV="0.014" RecoverMagicV="0.014" HitV="29" Dodge="29" PhySkillIncreasePercent="0" MagicSkillIncreasePercent="0" AttackSpeed="0" />
    <Level Level="33" LifeV="267" MagicV="500" MinDefenseV="32" MaxDefenseV="40" MinMDefenseV="42" MaxMDefenseV="53" MinAttackV="0" MaxAttackV="0" MinMAttackV="122" MaxMAttackV="161" RecoverLifeV="0.014" RecoverMagicV="0.014" HitV="29" Dodge="29" PhySkillIncreasePercent="0" MagicSkillIncreasePercent="0" AttackSpeed="0" />
    <Level Level="34" LifeV="267" MagicV="500" MinDefenseV="32" MaxDefenseV="40" MinMDefenseV="42" MaxMDefenseV="53" MinAttackV="0" MaxAttackV="0" MinMAttackV="122" MaxMAttackV="161" RecoverLifeV="0.014" RecoverMagicV="0.014" HitV="29" Dodge="29" PhySkillIncreasePercent="0" MagicSkillIncreasePercent="0" AttackSpeed="0" />
    <Level Level="35" LifeV="267" MagicV="500" MinDefenseV="32" MaxDefenseV="40" MinMDefenseV="42" MaxMDefenseV="53" MinAttackV="0" MaxAttackV="0" MinMAttackV="122" MaxMAttackV="161" RecoverLifeV="0.014" RecoverMagicV="0.014" HitV="29" Dodge="29" PhySkillIncreasePercent="0" MagicSkillIncreasePercent="0" AttackSpeed="0" />
    <Level Level="36" LifeV="267" MagicV="500" MinDefenseV="32" MaxDefenseV="40" MinMDefenseV="42" MaxMDefenseV="53" MinAttackV="0" MaxAttackV="0" MinMAttackV="122" MaxMAttackV="161" RecoverLifeV="0.014" RecoverMagicV="0.014" HitV="29" Dodge="29" PhySkillIncreasePercent="0" MagicSkillIncreasePercent="0" AttackSpeed="0" />
    <Level Level="37" LifeV="267" MagicV="500" MinDefenseV="32" MaxDefenseV="40" MinMDefenseV="42" MaxMDefenseV="53" MinAttackV="0" MaxAttackV="0" MinMAttackV="122" MaxMAttackV="161" RecoverLifeV="0.014" RecoverMagicV="0.014" HitV="29" Dodge="29" PhySkillIncreasePercent="0" MagicSkillIncreasePercent="0" AttackSpeed="0" />
    <Level Level="38" LifeV="267" MagicV="500" MinDefenseV="32" MaxDefenseV="40" MinMDefenseV="42" MaxMDefenseV="53" MinAttackV="0" MaxAttackV="0" MinMAttackV="122" MaxMAttackV="161" RecoverLifeV="0.014" RecoverMagicV="0.014" HitV="29" Dodge="29" PhySkillIncreasePercent="0" MagicSkillIncreasePercent="0" AttackSpeed="0" />
    <Level Level="39" LifeV="267" MagicV="500" MinDefenseV="32" MaxDefenseV="40" MinMDefenseV="42" MaxMDefenseV="53" MinAttackV="0" MaxAttackV="0" MinMAttackV="122" MaxMAttackV="161" RecoverLifeV="0.014" RecoverMagicV="0.014" HitV="29" Dodge="29" PhySkillIncreasePercent="0" MagicSkillIncreasePercent="0" AttackSpeed="0" />
    <Level Level="40" LifeV="267" MagicV="500" MinDefenseV="32" MaxDefenseV="40" MinMDefenseV="42" MaxMDefenseV="53" MinAttackV="0" MaxAttackV="0" MinMAttackV="122" MaxMAttackV="161" RecoverLifeV="0.014" RecoverMagicV="0.014" HitV="29" Dodge="29" PhySkillIncreasePercent="0" MagicSkillIncreasePercent="0" AttackSpeed="0" />
    <Level Level="41" LifeV="267" MagicV="500" MinDefenseV="32" MaxDefenseV="40" MinMDefenseV="42" MaxMDefenseV="53" MinAttackV="0" MaxAttackV="0" MinMAttackV="122" MaxMAttackV="161" RecoverLifeV="0.014" RecoverMagicV="0.014" HitV="29" Dodge="29" PhySkillIncreasePercent="0" MagicSkillIncreasePercent="0" AttackSpeed="0" />
    <Level Level="42" LifeV="267" MagicV="500" MinDefenseV="32" MaxDefenseV="40" MinMDefenseV="42" MaxMDefenseV="53" MinAttackV="0" MaxAttackV="0" MinMAttackV="122" MaxMAttackV="161" RecoverLifeV="0.014" RecoverMagicV="0.014" HitV="29" Dodge="29" PhySkillIncreasePercent="0" MagicSkillIncreasePercent="0" AttackSpeed="0" />
    <Level Level="43" LifeV="267" MagicV="500" MinDefenseV="32" MaxDefenseV="40" MinMDefenseV="42" MaxMDefenseV="53" MinAttackV="0" MaxAttackV="0" MinMAttackV="122" MaxMAttackV="161" RecoverLifeV="0.014" RecoverMagicV="0.014" HitV="29" Dodge="29" PhySkillIncreasePercent="0" MagicSkillIncreasePercent="0" AttackSpeed="0" />
    <Level Level="44" LifeV="267" MagicV="500" MinDefenseV="32" MaxDefenseV="40" MinMDefenseV="42" MaxMDefenseV="53" MinAttackV="0" MaxAttackV="0" MinMAttackV="122" MaxMAttackV="161" RecoverLifeV="0.014" RecoverMagicV="0.014" HitV="29" Dodge="29" PhySkillIncreasePercent="0" MagicSkillIncreasePercent="0" AttackSpeed="0" />
    <Level Level="45" LifeV="267" MagicV="500" MinDefenseV="32" MaxDefenseV="40" MinMDefenseV="42" MaxMDefenseV="53" MinAttackV="0" MaxAttackV="0" MinMAttackV="122" MaxMAttackV="161" RecoverLifeV="0.014" RecoverMagicV="0.014" HitV="29" Dodge="29" PhySkillIncreasePercent="0" MagicSkillIncreasePercent="0" AttackSpeed="0" />
    <Level Level="46" LifeV="267" MagicV="500" MinDefenseV="32" MaxDefenseV="40" MinMDefenseV="42" MaxMDefenseV="53" MinAttackV="0" MaxAttackV="0" MinMAttackV="122" MaxMAttackV="161" RecoverLifeV="0.014" RecoverMagicV="0.014" HitV="29" Dodge="29" PhySkillIncreasePercent="0" MagicSkillIncreasePercent="0" AttackSpeed="0" />
    <Level Level="47" LifeV="267" MagicV="500" MinDefenseV="32" MaxDefenseV="40" MinMDefenseV="42" MaxMDefenseV="53" MinAttackV="0" MaxAttackV="0" MinMAttackV="122" MaxMAttackV="161" RecoverLifeV="0.014" RecoverMagicV="0.014" HitV="29" Dodge="29" PhySkillIncreasePercent="0" MagicSkillIncreasePercent="0" AttackSpeed="0" />
    <Level Level="48" LifeV="267" MagicV="500" MinDefenseV="32" MaxDefenseV="40" MinMDefenseV="42" MaxMDefenseV="53" MinAttackV="0" MaxAttackV="0" MinMAttackV="122" MaxMAttackV="161" RecoverLifeV="0.014" RecoverMagicV="0.014" HitV="29" Dodge="29" PhySkillIncreasePercent="0" MagicSkillIncreasePercent="0" AttackSpeed="0" />
