TextAsset Base
	string m_Name = "ChatSymbol"
	string m_Script = "id,showName,imageName,isAnimation,AnimationFps
1,［Buồn］,biaoqing_2_,1,5
2,［Rên rỉ］,biaoqing_3_,1,5
3,［Suy sụp］,biaoqing_5_,1,5
4,［Cười đểu］,biaoqing_6_,1,5
5,［Khóc］,biaoqing_8_,1,5
6,［Hihi］,biaoqing_9_,1,5
7,［Háo sắc］,biaoqing_10_,1,5
8,［Nhìn］,biaoqing_11_,1,5
9,［Lúng túng］,biaoqing_12_,1,5
10,［Lè lưỡi］,biaoqing_13_,1,5
11,［Ao ước］,biaoqing_14_,1,5
12,［Ngạc nhiên］,biaoqing_15_,1,5
13,［Nộ］,biaoqing_16_,1,5
14,［Ngủ gật］,biaoqing_17_,1,5
15,［Choáng］,biaoqing_18_,1,5
16,［Kinh ngạc］,biaoqing_19_,1,5
17,［Giận］,biaoqing_20_,1,5
18,［Chỉ］,biaoqing_21_,1,5
19,［Nghi ngờ］,biaoqing_22_,1,5
20,［Sợ hãi］,biaoqing_23_,1,5
21,［Ngủ］,biaoqing_24_,1,5
22,［Ói］,biaoqing_25_,1,5
23,［Cười trộm］,biaoqing_26_,1,5
24,［Lo lắng］,biaoqing_27_,1,5
25,［Nổ tung］,biaoqing_28_,1,5
26,［Khao khát］,biaoqing_29_,1,5
27,［Chảy máu mũi］,biaoqing_30_,1,5
28,［Mát mẻ］,biaoqing_31_,1,5
29,［Mắng］,biaoqing_54_,1,5
30,［Thương lượng］,biaoqing_33_,1,5
31,［Lạnh］,biaoqing_34_,1,5
32,［Nhấn mạnh］,biaoqing_36_,1,5
33,［Quỳ bái］,biaoqing_37_,1,5
34,［Nắm đấm］,biaoqing_41_,1,5
36,［Sợ］,biaoqing_71_,1,5
37,［Khua tay］,biaoqing_44_,1,5
38,［Sờ râu］,biaoqing_46_,1,5
40,［Mồ hôi］,biaoqing_51_,1,5
41,［Nhăn nhó］,biaoqing_53_,1,5
42,［Cấm nói］,biaoqing_56_,1,5
43,［Hôn gió］,biaoqing_57_,1,5
44,［Khinh thường］,biaoqing_62_,1,5
45,［Ô］,biaoqing_66_,1,5
46,［Phấn khởi］,biaoqing_67_,1,5
47,［Môi đỏ］,biaoqing_68_,1,5
48,［Tự kỷ］,biaoqing_74_,1,5
49,［Ngoáy mũi］,biaoqing_75_,1,5
50,［Trở mặt］,biaoqing_76_,1,5"
