TextAsset Base
	string m_Name = "FundSet"
	string m_Script = "<?xml version="1.0" encoding="utf-8"?>
<config>
  <FundSet MainID="1" PageID="1" MinVip="0" NextID="0" Price="1200" Tips_1="6" Tips_2="{f0f0f0}1200 KC mua quỹ chuyển sinh" Tips_3="{f0f0f0}Có thể nhận {fac60d} 1200 KC 、6000 KC Khóa" />
  <FundSet MainID="2" PageID="2" MinVip="0" NextID="3" Price="300" Tips_1="4" Tips_2="{f0f0f0}300 KC mua quỹ thời gian" Tips_3="{f0f0f0}Có thể nhận {fac60d} 300 KC 、900 KC Khóa" />
  <FundSet MainID="3" PageID="2" MinVip="1" NextID="4" Price="600" Tips_1="4" Tips_2="{f0f0f0}600 KC mua quỹ thời gian" Tips_3="{f0f0f0}Có thể nhận {fac60d} 600 KC 、1800 KC Khóa" />
  <FundSet MainID="4" PageID="2" MinVip="2" NextID="5" Price="1800" Tips_1="4" Tips_2="{f0f0f0}1800 KC mua quỹ thời gian" Tips_3="{f0f0f0}Có thể nhận {fac60d} 1800 KC 、5400 KC Khóa" />
  <FundSet MainID="5" PageID="2" MinVip="3" NextID="6" Price="2400" Tips_1="4" Tips_2="{f0f0f0}2400 KC mua quỹ thời gian" Tips_3="{f0f0f0}Có thể nhận {fac60d} 2400 KC 、7200 KC Khóa" />
  <FundSet MainID="6" PageID="2" MinVip="4" NextID="7" Price="3600" Tips_1="4" Tips_2="{f0f0f0}3600 KC mua quỹ thời gian" Tips_3="{f0f0f0}Có thể nhận {fac60d} 3600 KC 、10800 KC Khóa" />
  <FundSet MainID="7" PageID="2" MinVip="5" NextID="8" Price="3600" Tips_1="4" Tips_2="{f0f0f0}3600 KC mua quỹ thời gian" Tips_3="{f0f0f0}Có thể nhận {fac60d} 3600 KC 、10800 KC Khóa" />
  <FundSet MainID="8" PageID="2" MinVip="6" NextID="9" Price="3600" Tips_1="4" Tips_2="{f0f0f0}3600 KC mua quỹ thời gian" Tips_3="{f0f0f0}Có thể nhận {fac60d} 3600 KC 、10800 KC Khóa" />
  <FundSet MainID="9" PageID="2" MinVip="7" NextID="10" Price="6000" Tips_1="4" Tips_2="{f0f0f0}6000 KC mua quỹ thời gian" Tips_3="{f0f0f0}Có thể nhận {fac60d} 6000 KC 、18000 KC Khóa" />
  <FundSet MainID="10" PageID="2" MinVip="8" NextID="11" Price="6000" Tips_1="4" Tips_2="{f0f0f0}6000 KC mua quỹ thời gian" Tips_3="{f0f0f0}Có thể nhận {fac60d} 6000 KC 、18000 KC Khóa" />
  <FundSet MainID="11" PageID="2" MinVip="9" NextID="12" Price="6000" Tips_1="4" Tips_2="{f0f0f0}6000 KC mua quỹ thời gian" Tips_3="{f0f0f0}Có thể nhận {fac60d} 6000 KC 、18000 KC Khóa" />
  <FundSet MainID="12" PageID="2" MinVip="10" NextID="13" Price="6000" Tips_1="4" Tips_2="{f0f0f0}6000 KC mua quỹ thời gian" Tips_3="{f0f0f0}Có thể nhận {fac60d} 6000 KC 、18000 KC Khóa" />
  <FundSet MainID="13" PageID="2" MinVip="11" NextID="14" Price="6000" Tips_1="4" Tips_2="{f0f0f0}6000 KC mua quỹ thời gian" Tips_3="{f0f0f0}Có thể nhận {fac60d} 6000 KC 、18000 KC Khóa" />
  <FundSet MainID="14" PageID="2" MinVip="12" NextID="0" Price="6000" Tips_1="4" Tips_2="{f0f0f0}6000 KC mua quỹ thời gian" Tips_3="{f0f0f0}Có thể nhận {fac60d} 6000 KC 、18000 KC Khóa" />
  <FundSet MainID="15" PageID="3" MinVip="7" NextID="15" Price="3000" Tips_1="10" Tips_2="{f0f0f0}3000 KC mua quỹ hào khí" Tips_3="{f0f0f0}Có thể nhận {fac60d} 3000 KC 、27000 KC Khóa" />
</config>"
