TextAsset Base
	string m_Name = "WenZhangRandomProperty"
	string m_Script = "<?xml version="1.0" encoding="utf-8"?>
<Config>
  <WenZhangRandomProperty ID="100011" Name="Toàn phẩm_Giới hạn HP_Ngẫu nhiên" Property="MaxLifeV" PropertyRandom="1|525,630|22000$1|630,735|20000$2|756,840|15000$2|861,1050|15000$3|1071,1365|15000$3|1386,1680|8000$4|1701,1890|4000$4|1911,2100|1000" />
  <WenZhangRandomProperty ID="100021" Name="Toàn phẩm_Lực công vật lý_Ngẫu nhiên" Property="AddAttack" PropertyRandom="1|53,63|22000$1|63,74|20000$2|76,84|15000$2|86,105|15000$3|107,137|15000$3|139,168|8000$4|170,189|4000$4|191,210|1000" />
  <WenZhangRandomProperty ID="100031" Name="Toàn phẩm_Lực công ma pháp_Ngẫu nhiên" Property="AddAttack" PropertyRandom="1|53,63|22000$1|63,74|20000$2|76,84|15000$2|86,105|15000$3|107,137|15000$3|139,168|8000$4|170,189|4000$4|191,210|1000" />
  <WenZhangRandomProperty ID="100041" Name="Toàn phẩm_Phòng ngự vật lý_Ngẫu nhiên" Property="AddDefense" PropertyRandom="1|53,63|22000$1|63,74|20000$2|76,84|15000$2|86,105|15000$3|107,137|15000$3|139,168|8000$4|170,189|4000$4|191,210|1000" />
  <WenZhangRandomProperty ID="100051" Name="Toàn phẩm_Phòng ngự ma pháp_Ngẫu nhiên" Property="AddDefense" PropertyRandom="1|53,63|22000$1|63,74|20000$2|76,84|15000$2|86,105|15000$3|107,137|15000$3|139,168|8000$4|170,189|4000$4|191,210|1000" />
  <WenZhangRandomProperty ID="100061" Name="Nhất kích kháng may mắn" Property="DeLucky" PropertyRandom="1|0.008,0.009|22000$1|0.009,0.011|20000$2|0.011,0.012|15000$2|0.012,0.015|15000$3|0.015,0.02|15000$3|0.02,0.024|8000$4|0.024,0.027|4000$4|0.027,0.03|1000" />
  <WenZhangRandomProperty ID="100071" Name="Nhất kích kháng vượt trội" Property="DeFatalAttack" PropertyRandom="1|0.008,0.009|22000$1|0.009,0.011|20000$2|0.011,0.012|15000$2|0.012,0.015|15000$3|0.015,0.02|15000$3|0.02,0.024|8000$4|0.024,0.027|4000$4|0.027,0.03|1000" />
  <WenZhangRandomProperty ID="100081" Name="Nhất kích kháng gấp đôi" Property="DeDoubleAttack" PropertyRandom="1|0.008,0.009|22000$1|0.009,0.011|20000$2|0.011,0.012|15000$2|0.012,0.015|15000$3|0.015,0.02|15000$3|0.02,0.024|8000$4|0.024,0.027|4000$4|0.027,0.03|1000" />
  <WenZhangRandomProperty ID="100091" Name="Phần trăm tăng trúng đích" Property="HitPercent" PropertyRandom="1|0.008,0.009|22000$1|0.009,0.011|20000$2|0.011,0.012|15000$2|0.012,0.015|15000$3|0.015,0.02|15000$3|0.02,0.024|8000$4|0.024,0.027|4000$4|0.027,0.03|1000" />
  <WenZhangRandomProperty ID="100101" Name="Phần trăm tăng né tránh" Property="DodgePercent" PropertyRandom="1|0.008,0.009|22000$1|0.009,0.011|20000$2|0.011,0.012|15000$2|0.012,0.015|15000$3|0.015,0.02|15000$3|0.02,0.024|8000$4|0.024,0.027|4000$4|0.027,0.03|1000" />
  <WenZhangRandomProperty ID="100111" Name="Tỉ lệ đóng băng" Property="FrozenPercent" PropertyRandom="1|0.008,0.009|22000$1|0.009,0.011|20000$2|0.011,0.012|15000$2|0.012,0.015|15000$3|0.015,0.02|15000$3|0.02,0.024|8000$4|0.024,0.027|4000$4|0.027,0.03|1000" />
