id,showName,imageName,isAnimation,AnimationFps
1,［Cry］,biaoqing_2_,1,5
2,［Hum］,biaoqing_3_,1,5
3,［Mope］,biaoqing_5_,1,5
4,［Grin］,biaoqing_6_,1,5
5,［Weep］,biaoqing_8_,1,5
6,［Giggle］,biaoqing_9_,1,5
7,［Gasp］,biaoqing_10_,1,5
8,［Glare］,biaoqing_11_,1,5
9,［Confused］,biaoqing_12_,1,5
10,［Whine］,biaoqing_13_,1,5
11,［Appeal］,biaoqing_14_,1,5
12,［Surprised］,biaoqing_15_,1,5
13,［Rail］,biaoqing_16_,1,5
14,［Yawn］,biaoqing_17_,1,5
15,［Faint］,biaoqing_18_,1,5
16,［Shiver］,biaoqing_19_,1,5
17,［Roar］,biaoqing_20_,1,5
18,［Catch］,biaoqing_21_,1,5
19,［Curious］,biaoqing_22_,1,5
20,［Scared］,biaoqing_23_,1,5
21,［Sleep］,biaoqing_24_,1,5
22,［Vomit］,biaoqing_25_,1,5
23,［Smirk］,biaoqing_26_,1,5
24,［Tormented］,biaoqing_27_,1,5
25,［Bomb］,biaoqing_28_,1,5
26,［Lick］,biaoqing_29_,1,5
27,［Nosebleed］,biaoqing_30_,1,5
28,［Shine］,biaoqing_31_,1,5
29,［Scold］,biaoqing_54_,1,5
30,［Tada］,biaoqing_33_,1,5
31,［Frozen］,biaoqing_34_,1,5
32,［Brag］,biaoqing_36_,1,5
33,［Bow］,biaoqing_37_,1,5
34,［Punch］,biaoqing_41_,1,5
35,［Dodge］,biaoqing_42_,1,5
36,［Shudder］,biaoqing_71_,1,5
37,［Shy］,biaoqing_44_,1,5
38,［Hem］,biaoqing_46_,1,5
40,［Pout］,biaoqing_51_,1,5
41,［Taunt］,biaoqing_53_,1,5
42,［Calm］,biaoqing_56_,1,5
43,［Flirt］,biaoqing_57_,1,5
44,［Ignore］,biaoqing_62_,1,5
45,［Boggle］,biaoqing_66_,1,5
46,［Excited］,biaoqing_67_,1,5
47,［Kiss］,biaoqing_68_,1,5
48,［Boast］,biaoqing_74_,1,5
49,［Look Away］,biaoqing_75_,1,5
50,［Peekaboo］,biaoqing_76_,1,5
